task_id,task_type,difficulty_level,status,reasoning_planning_evidence,instruction_following_evidence,communication_social_evidence,self_critique_verification_evidence,memory_context_evidence,tool_planning_evidence,generated_lexical_units,lexical_repetition_ratio,goal_count,constraint_count,plan_step_count,constraint_prompt_similarity,constraint_plan_coverage,plan_prompt_similarity,constraint_source_completeness,plan_action_completeness,plan_expected_result_completeness,dependency_edge_count,dependency_reference_valid_rate,dependency_order_valid_rate,dependency_cycle_detected,strict_json_valid,required_field_completeness,list_field_type_valid_rate,self_assessment_marker_count,communication_source_coverage,verification_count,verification_method_completeness,verification_failure_signal_completeness,actionable_verification_rate,plan_verification_coverage,memory_status_coverage,memory_valid_status_rate,tool_count,unexpected_tool_plan,tool_argument_source_coverage,tool_literal_argument_grounding_rate,tool_success_check_completeness
code_L1_001,code_generation,1,success,available,available,insufficient,available,insufficient,insufficient,220,0.581818,1,1,3,0.648447,1.0,0.538939,1.0,1.0,1.0,2,1.0,1.0,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
code_L2_002,code_generation,2,success,available,available,insufficient,available,insufficient,insufficient,204,0.539216,1,1,2,0.284763,1.0,0.416836,1.0,1.0,1.0,1,1.0,1.0,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
code_L3_003,code_generation,3,success,available,available,insufficient,available,insufficient,insufficient,164,0.463415,1,1,1,0.692091,1.0,0.642452,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
code_L4_004,code_generation,4,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,226,0.623894,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
code_L5_005,code_generation,5,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,209,0.521531,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
math_L1_006,math_reasoning,1,success,available,available,insufficient,available,insufficient,insufficient,115,0.478261,1,1,1,0.228252,1.0,0.343229,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
math_L2_007,math_reasoning,2,success,available,available,insufficient,available,insufficient,insufficient,184,0.51087,1,1,3,0.303464,1.0,0.336639,1.0,1.0,1.0,2,1.0,1.0,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
math_L3_008,math_reasoning,3,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,216,0.615741,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
math_L4_009,math_reasoning,4,success,available,available,insufficient,available,insufficient,insufficient,209,0.550239,1,1,2,0.580535,1.0,0.422218,1.0,1.0,1.0,1,1.0,1.0,0,1,1.0,1.0,0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,1,0.0,,1.0
math_L5_010,math_reasoning,5,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,177,0.531073,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
