model,task_id,task_type,status,reasoning_planning,instruction_role,communication,verification,memory_context,tool_use,observable_count,overall_sufficiency,relative_difficulty,bottlenecks
qwen3-8B-no-answer,code_L1_001,code_generation,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,code_L2_002,code_generation,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,code_L3_003,code_generation,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,code_L4_004,code_generation,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,code_L5_005,code_generation,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,math_L1_006,math_reasoning,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,math_L2_007,math_reasoning,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,math_L3_008,math_reasoning,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,math_L4_009,math_reasoning,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,math_L5_010,math_reasoning,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,qa_L1_011,knowledge_qa,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,qa_L2_012,knowledge_qa,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,qa_L3_013,knowledge_qa,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,qa_L4_014,knowledge_qa,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,qa_L5_015,knowledge_qa,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,logic_L1_016,logical_reasoning,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,logic_L2_017,logical_reasoning,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,logic_L3_018,logical_reasoning,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,logic_L4_019,logical_reasoning,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,logic_L5_020,logical_reasoning,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,inst_L1_021,instruction_following,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,inst_L2_022,instruction_following,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,inst_L3_023,instruction_following,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
qwen3-8B-no-answer,inst_L4_024,instruction_following,success,1.0,1.0,,1.0,,,3,1.0,0.0,reasoning_planning;instruction_role;verification
qwen3-8B-no-answer,inst_L5_025,instruction_following,success,1.0,1.0,,0.5,,,3,0.833333,0.166667,verification
