task_id,task_type,status,available_count,overall_latent_load_proxy,reasoning_planning_status,reasoning_planning_tokens,reasoning_planning_latent_load,instruction_role_status,instruction_role_tokens,instruction_role_latent_load,communication_status,communication_tokens,communication_latent_load,verification_status,verification_tokens,verification_latent_load,memory_context_status,memory_context_tokens,memory_context_latent_load,tool_use_status,tool_use_tokens,tool_use_latent_load
code_L1_001,code_generation,success,3,0.410808,available,43,0.411026,available,35,0.413703,empty_evidence,29,,available,41,0.407695,empty_evidence,6,,empty_evidence,8,
code_L2_002,code_generation,success,3,0.417505,available,32,0.408084,available,22,0.430097,empty_evidence,29,,available,28,0.414335,empty_evidence,6,,empty_evidence,8,
code_L3_003,code_generation,success,3,0.40806,available,49,0.398595,available,24,0.417868,empty_evidence,29,,available,32,0.407717,empty_evidence,9,,empty_evidence,8,
code_L4_004,code_generation,success,3,0.397547,available,70,0.381702,available,31,0.404156,empty_evidence,29,,available,37,0.406782,empty_evidence,6,,empty_evidence,8,
code_L5_005,code_generation,success,3,0.39185,available,109,0.385119,available,31,0.400011,empty_evidence,29,,available,50,0.39042,empty_evidence,9,,empty_evidence,8,
math_L1_006,math_reasoning,success,3,0.414858,available,38,0.411924,available,34,0.414002,empty_evidence,29,,available,29,0.418649,empty_evidence,9,,empty_evidence,8,
math_L2_007,math_reasoning,success,3,0.413364,available,55,0.401216,available,25,0.424556,empty_evidence,29,,available,31,0.414319,empty_evidence,6,,empty_evidence,8,
math_L3_008,math_reasoning,success,3,0.405749,available,71,0.399956,available,24,0.414802,empty_evidence,29,,available,38,0.402489,empty_evidence,9,,empty_evidence,8,
math_L4_009,math_reasoning,success,3,0.416535,available,44,0.405299,available,22,0.428956,empty_evidence,29,,available,28,0.415351,empty_evidence,6,,empty_evidence,8,
math_L5_010,math_reasoning,success,3,0.406979,available,52,0.405823,available,31,0.409246,empty_evidence,29,,available,36,0.40587,empty_evidence,9,,empty_evidence,8,
qa_L1_011,knowledge_qa,success,4,0.423059,available,30,0.433942,available,23,0.427512,empty_evidence,29,,available,29,0.419584,available,15,0.4112,empty_evidence,8,
qa_L2_012,knowledge_qa,success,4,0.413715,available,58,0.401442,available,23,0.424372,empty_evidence,29,,available,33,0.421694,available,22,0.407352,empty_evidence,8,
qa_L3_013,knowledge_qa,success,4,0.398272,available,66,0.397119,available,26,0.408862,empty_evidence,29,,available,39,0.404667,available,44,0.38244,empty_evidence,8,
qa_L4_014,knowledge_qa,success,4,0.401329,available,81,0.387978,available,32,0.402461,empty_evidence,29,,available,49,0.400734,available,53,0.414143,empty_evidence,8,
qa_L5_015,knowledge_qa,success,5,0.379819,available,135,0.381431,available,33,0.396799,available,57,0.374964,available,79,0.34912,available,33,0.39678,empty_evidence,8,
logic_L1_016,logical_reasoning,success,3,0.414651,available,48,0.407083,available,23,0.421103,empty_evidence,29,,available,29,0.415766,empty_evidence,6,,empty_evidence,8,
logic_L2_017,logical_reasoning,success,5,0.397535,available,77,0.40068,available,30,0.414412,available,35,0.406372,available,57,0.373266,available,28,0.392945,empty_evidence,8,
logic_L3_018,logical_reasoning,success,3,0.392008,available,50,0.383108,available,40,0.395153,empty_evidence,29,,available,42,0.397764,empty_evidence,9,,empty_evidence,8,
logic_L4_019,logical_reasoning,success,3,0.390722,available,78,0.389219,available,54,0.394046,empty_evidence,29,,available,47,0.388901,empty_evidence,9,,empty_evidence,8,
logic_L5_020,logical_reasoning,success,5,0.39469,available,56,0.400104,available,31,0.408232,available,33,0.39857,available,54,0.375441,available,15,0.391101,empty_evidence,8,
inst_L1_021,instruction_following,success,3,0.410619,available,36,0.408028,available,29,0.413613,empty_evidence,29,,available,29,0.410216,empty_evidence,9,,empty_evidence,8,
inst_L2_022,instruction_following,success,3,0.39435,available,81,0.392983,available,38,0.396458,empty_evidence,29,,available,43,0.393608,empty_evidence,9,,empty_evidence,8,
inst_L3_023,instruction_following,success,3,0.381295,available,115,0.376397,available,63,0.38976,empty_evidence,29,,available,87,0.377729,empty_evidence,9,,empty_evidence,8,
inst_L4_024,instruction_following,success,5,0.411255,available,50,0.404705,available,28,0.420015,available,38,0.405828,available,43,0.397826,available,17,0.4279,empty_evidence,8,
inst_L5_025,instruction_following,success,3,0.393044,available,76,0.385781,available,52,0.393334,empty_evidence,29,,available,40,0.400017,empty_evidence,9,,empty_evidence,8,
