task_id,task_type,difficulty_level,generated_tokens,termination_status,structure_completeness,pending_is_empty,terminal_probe_distance,probe_early_distance,probe_late_distance,probe_decay_score,natural_early_distance,natural_late_distance,natural_decay_score,lexical_repetition_rate,segment_revisit_rate,path_reversal_count,solveability_proxy_score,status,error
code_L1_001,code_generation,1,47,ended_early,1.0,True,,0.0,0.0,0.0,0.06410605097449129,0.06410605097449129,0.0,0.0,0.0,0,64.99999999999999,success,
code_L2_002,code_generation,2,51,ended_early,1.0,True,,0.0,0.0,0.0,0.047533875409826676,0.047533875409826676,0.0,0.0,0.0,0,64.99999999999999,success,
code_L3_003,code_generation,3,74,ended_early,1.0,False,0.05841571440790383,0.05841571440790383,0.05841571440790383,0.0,0.07181151005235498,0.07041521139416895,0.019443939518171846,0.0,0.0,0,54.902876686901635,success,
code_L4_004,code_generation,4,105,ended_early,1.0,False,0.04793763446436139,0.030467867851257324,0.04793763446436139,0.0,0.05978572368621826,0.05782449477508156,0.03280430159877782,0.010752688172043012,0.0,0,59.189516809994956,success,
code_L5_005,code_generation,5,120,ended_early,1.0,False,0.04580026865005493,0.0321882963180542,0.04580026865005493,0.0,0.0388641357421875,0.035263446946008026,0.09264811187292746,0.021505376344086023,0.0,0,59.89273878708996,success,
math_L1_006,math_reasoning,1,46,ended_early,1.0,True,,0.0,0.0,0.0,0.05483889579772949,0.05483889579772949,0.0,0.0,0.0,0,64.99999999999999,success,
math_L2_007,math_reasoning,2,54,ended_early,1.0,True,,0.0,0.0,0.0,0.03341609637929155,0.03341609637929155,0.0,0.0,0.0,0,64.99999999999999,success,
math_L3_008,math_reasoning,3,61,ended_early,1.0,True,,0.0,0.0,0.0,0.04569244384765625,0.04569244384765625,0.0,0.0,0.0,0,64.99999999999999,success,
math_L4_009,math_reasoning,4,63,ended_early,1.0,False,,0.0,0.0,0.0,0.04049325472036058,0.04049325472036058,0.0,0.0,0.0,0,64.99999999999999,success,
math_L5_010,math_reasoning,5,74,ended_early,1.0,False,0.05263132484332622,0.05263132484332622,0.05263132484332622,0.0,0.02895122939057526,0.07999741077453959,0.0,0.09836065573770492,0.0,0,55.420808873624175,success,
qa_L1_011,knowledge_qa,1,43,ended_early,1.0,True,,0.0,0.0,0.0,0.10897684097290039,0.10897684097290039,0.0,0.0,0.0,0,64.99999999999999,success,
qa_L2_012,knowledge_qa,2,40,ended_early,1.0,True,,0.0,0.0,0.0,0.11782132174714544,0.11782132174714544,0.0,0.0,0.0,0,64.99999999999999,success,
qa_L3_013,knowledge_qa,3,65,ended_early,1.0,False,0.03609692620075633,0.03609692620075633,0.03609692620075633,0.0,0.05454111424333541,0.373876593940055,0.0,0.0,0.0,0,64.49168999700501,success,
qa_L4_014,knowledge_qa,4,75,ended_early,1.0,False,0.05236965730009424,0.05236965730009424,0.05236965730009424,0.0,0.02216792106628418,0.05665731430053711,0.0,0.0,0.0,0,57.5004421250845,success,
qa_L5_015,knowledge_qa,5,75,ended_early,1.0,False,0.047208729219957,0.047208729219957,0.047208729219957,0.0,0.021946191787719727,0.058941132896081605,0.0,0.03278688524590164,0.0,0,59.0619921782652,success,
logic_L1_016,logical_reasoning,1,71,ended_early,1.0,True,0.033300222951187064,0.033300222951187064,0.033300222951187064,0.0,0.026065289974212646,0.1338883638381958,0.0,0.06557377049180328,0.0,0,64.38176124350987,success,
logic_L2_017,logical_reasoning,2,51,ended_early,1.0,False,,0.0,0.0,0.0,0.039797725665433714,0.039797725665433714,0.0,0.0,0.0,0,64.99999999999999,success,
logic_L3_018,logical_reasoning,3,96,ended_early,1.0,False,0.08374494813352518,0.030411602879262145,0.08374494813352518,0.0,0.034987094103520744,0.04014730453491211,0.0,0.07526881720430108,0.0,0,48.494623655913976,success,
logic_L4_019,logical_reasoning,4,93,ended_early,1.0,False,0.0227832807769347,0.0227832807769347,0.0227832807769347,0.0,0.04527849228849956,0.021886409633541715,0.5166268016477805,0.0,0.0,0,70.21162690670941,success,
logic_L5_020,logical_reasoning,5,65,ended_early,1.0,False,0.039627079919228536,0.039627079919228536,0.039627079919228536,0.0,0.03823267957774645,0.343469500541687,0.0,0.0,0.0,0,62.975031267676826,success,
inst_L1_021,instruction_following,1,17,ended_early,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,success,
inst_L2_022,instruction_following,2,80,ended_early,1.0,False,0.07743549346923828,0.07743549346923828,0.07743549346923828,0.0,0.0674455842310887,0.07081902871358736,0.0,0.0,0.0,0,50.0,success,
inst_L3_023,instruction_following,3,228,ended_early,0.0,False,0.03812813758850098,0.01236732874516618,0.022962172826131184,0.0,0.05225755845422838,0.08711997913635225,0.0,0.0,0.0,0,33.6190213462849,success,
inst_L4_024,instruction_following,4,88,ended_early,1.0,False,0.051025569438934326,0.051025569438934326,0.051025569438934326,0.0,0.05694228750123309,0.09685391764962181,0.0,0.04918032786885246,0.0,0,57.09429557375345,success,
inst_L5_025,instruction_following,5,113,ended_early,1.0,False,0.04945552938646425,0.04545576193137679,0.04945552938646425,0.0,0.04415870239242348,0.052662615300898385,0.0,0.0,0.0,0,58.75243789950609,success,
