arm,task_id,task_type,difficulty_level,answer_status,prompt_tokens,generated_tokens,termination,output_characters,output_lines,dimension_labels_present,verification_mentions,uncertainty_mentions,tool_mentions,absence_mentions,visible_generated_tokens,temporal_distance_mean,temporal_distance_early32,temporal_distance_terminal32,temporal_terminal_to_early_ratio,distance_from_first_mean,distance_from_first_terminal32,late8_depth_update_mean,late8_depth_update_terminal,final_state_norm_mean,final_state_norm_cv
six_dimension,code_L1_001,code_generation,1,correct,313,340,eos,695,17,6,3,1,7,1,339,0.3999049961566925,0.4893185496330261,0.280163049697876,0.5725575903631482,0.8582189679145813,0.9155492782592773,0.10998759069480002,0.10770206828601658,129.1627197265625,0.25984083159358135
six_dimension,code_L2_002,code_generation,2,correct,333,381,eos,765,17,6,3,1,3,1,380,0.35720595717430115,0.4849820137023926,0.2407863587141037,0.4964851312235702,0.8427320718765259,0.8677729368209839,0.11080581392161548,0.10856771538965404,129.47764587402344,0.24975360755891823
six_dimension,code_L3_003,code_generation,3,correct,364,416,eos,785,17,6,3,1,5,2,415,0.3492412567138672,0.566585123538971,0.1976509690284729,0.34884602651392776,0.8389095664024353,0.8742502927780151,0.1111080595292151,0.10582418460398912,130.8690185546875,0.24153261734909462
six_dimension,code_L4_004,code_generation,4,correct,413,494,eos,906,17,6,2,1,2,1,493,0.36575987935066223,0.5323441624641418,0.2776075303554535,0.5214813083897635,0.8620867133140564,0.9011631608009338,0.1107136239297688,0.10796999162994325,130.28506469726562,0.22318285404155971
six_dimension,code_L5_005,code_generation,5,partial,415,808,eos,1398,36,6,10,1,4,0,807,0.3853073716163635,0.49086707830429077,0.3900226652622223,0.7945586137281047,0.8489712476730347,0.850724995136261,0.11222436791285872,0.11236537038348615,119.41161346435547,0.2313724310081341
six_dimension,inst_L1_021,instruction_following,1,correct,308,213,eos,377,6,6,2,0,1,0,212,0.3871065378189087,0.3804256319999695,0.38282352685928345,1.0063031895267094,0.8435875773429871,0.878540575504303,0.11066903383471072,0.11225022282451391,126.47731018066406,0.21856032048964286
six_dimension,inst_L2_022,instruction_following,2,incorrect,351,310,eos,567,11,6,3,0,2,1,309,0.31408563256263733,0.3344711661338806,0.29019007086753845,0.8676086319242912,0.8383243083953857,0.9085828065872192,0.10676142014563084,0.10398440854623914,137.88902282714844,0.2099843886509393
six_dimension,inst_L3_023,instruction_following,3,incorrect,395,425,eos,684,11,6,2,0,2,0,424,0.25912007689476013,0.34590935707092285,0.20197266340255737,0.5838889850011959,0.8180122971534729,0.8367396593093872,0.10799316875636578,0.10695423604920506,130.99520874023438,0.18089503234865115
six_dimension,inst_L4_024,instruction_following,4,correct,408,62,eos,305,2,0,0,2,0,0,61,0.43909740447998047,0.4964640438556671,0.3993840515613556,0.804457153552625,1.13857901096344,1.1584645509719849,0.10603978205472231,0.10321817151270807,163.47349548339844,0.10125063950292526
six_dimension,inst_L5_025,instruction_following,5,incorrect,484,149,eos,594,4,0,1,2,1,0,148,0.41880446672439575,0.4063872992992401,0.4975431263446808,1.2243077655296477,1.1028392314910889,1.09627366065979,0.10102749848738313,0.10143214673735201,169.3310546875,0.11725765232561493
six_dimension,logic_L1_016,logical_reasoning,1,correct,317,426,eos,827,17,6,3,1,3,2,425,0.4151499271392822,0.5578894019126892,0.3407086730003357,0.6107100651710485,0.8162180781364441,0.7932358384132385,0.10831180308014154,0.10872294544242322,142.1150665283203,0.23959857641249893
six_dimension,logic_L2_017,logical_reasoning,2,correct,326,383,eos,782,17,6,3,2,3,3,382,0.3421988785266876,0.44888734817504883,0.35095328092575073,0.7818292993833553,0.7892683744430542,0.7968685626983643,0.10882976627908647,0.10956144775263965,144.17880249023438,0.24173356332831053
six_dimension,logic_L3_018,logical_reasoning,3,partial,370,367,eos,752,17,6,3,5,3,3,366,0.32890141010284424,0.4636370539665222,0.3462032079696655,0.7467116896887706,0.8038552403450012,0.8169227838516235,0.10882915370166302,0.10922411666251719,138.1769561767578,0.22700223564184013
six_dimension,logic_L4_019,logical_reasoning,4,correct,382,476,eos,891,17,6,4,3,4,2,475,0.3201301395893097,0.44462868571281433,0.20853984355926514,0.4690202190282456,0.796486496925354,0.8365954756736755,0.10884656477719545,0.10556914703920484,137.27842712402344,0.23197940595635344
six_dimension,logic_L5_020,logical_reasoning,5,correct,437,581,eos,987,17,6,2,9,5,0,580,0.2315012365579605,0.33235883712768555,0.21361258625984192,0.6427167338348109,0.8519902229309082,0.8479846715927124,0.10778949991799891,0.10838859574869275,125.5395736694336,0.14963524454346633
